Year,Risk-free rate
1927,1.0312
1928,1.0356
1929,1.0475
1930,1.0241
1931,1.0107
1932,1.0096
1933,1.003
1934,1.0016
1935,1.0017
1936,1.0018
1937,1.0031
1938,0.9998
1939,1.0002
1940,1
1941,1.0006
1942,1.0027
1943,1.0035
1944,1.0033
1945,1.0033
1946,1.0035
1947,1.005
1948,1.0081
1949,1.011
1950,1.012
1951,1.0149
1952,1.0166
1953,1.0182
1954,1.0086
1955,1.0157
1956,1.0246
1957,1.0314
1958,1.0154
1959,1.0295
1960,1.0266
1961,1.0213
1962,1.0273
1963,1.0312
1964,1.0354
1965,1.0393
1966,1.0476
1967,1.0421
1968,1.0521
1969,1.0658
1970,1.0652
1971,1.0439
1972,1.0384
1973,1.0693
1974,1.08
1975,1.058
1976,1.0508
1977,1.0512
1978,1.0718
1979,1.1038
1980,1.1124
1981,1.1471
1982,1.1054
1983,1.088
1984,1.0985
1985,1.0772
1986,1.0616
1987,1.0547
1988,1.0635
1989,1.0837
1990,1.0781
1991,1.056
1992,1.0351
1993,1.029
1994,1.039
1995,1.056
1996,1.0521
1997,1.0526
1998,1.0486
1999,1.0468
2000,1.0589
2001,1.0383
2002,1.0165
2003,1.0102
2004,1.012
2005,1.0298
2006,1.048
2007,1.0466
2008,1.016
2009,1.001
2010,1.0012
2011,1.0004
2012,1.0006
2013,1.0002
2014,1.0002
2015,1.0002
2016,1.002
2017,1.008
2018,1.0183
2019,1.0215
2020,1.0045
2021,1.0004
2022,1.0143
2023,1.0495
2024,1.0526
